weight,walking,speech,weather,sweat,hunger,skin type,hair type,lips,teeth,eyes,memory,thinking,action efficiency,sleep,skin color,nails,bodytype
difficult to lose,fast,slow,warm,mild,always hunger,cool,dry brittle,red,large,bright,forgets quickly,peacefull,quickly but inconsistently,sound,pale,pale,kapha
difficult to lose,moderate,fast,warm,mild,moderate hunger,cool,oily thick,dark up red bottom,perfect,red,forgets quickly,quick,slowly but steadily,deep,redish,soft red,kapha
lean,moderate,slow,all,mild,always hunger,cool,oily thick,dark up red bottom,uneven,bright,never forgets,quick,quickly but inconsistently,deep,redish,pale,kapha
average,fast,slow,warm,excessive,moderate hunger,oily,oily thick,red,large,dark,average,quick,promptly and decisively,deep,pale,pale,kapha
difficult to lose,moderate,fast,all,excessive,irregular appetite,dry,oily thick,red,perfect,bright,average,quick,promptly and decisively,deep,redish,dull,kapha
difficult to lose,slow,slow,warm,mild,moderate hunger,dry,straight soft,dark dry,perfect,bright,forgets quickly,peacefull,promptly and decisively,sound,dark,soft red,kapha
lean,fast,fast,cold,excessive with strong odor,moderate hunger,cool,oily thick,dark up red bottom,large,bright,never forgets,peacefull,promptly and decisively,light,dark,pale,kapha
average,moderate,fast,all,excessive with strong odor,moderate hunger,dry,straight soft,dark dry,perfect,red,never forgets,peacefull,quickly but inconsistently,sound,pale,dull,kapha
difficult to lose,moderate,fast,cold,excessive with strong odor,irregular appetite,cool,dry brittle,red,perfect,bright,average,focused,promptly and decisively,deep,dark,pale,kapha
average,moderate,moderate,all,mild,always hunger,dry,oily thick,dark dry,perfect,bright,never forgets,focused,slowly but steadily,deep,dark,pale,kapha
difficult to lose,moderate,moderate,cold,mild,moderate hunger,cool,oily thick,dark up red bottom,large,dark,average,quick,slowly but steadily,deep,pale,dull,kapha
difficult to lose,fast,slow,all,excessive with strong odor,moderate hunger,dry,dry brittle,dark up red bottom,uneven,bright,forgets quickly,focused,quickly but inconsistently,deep,redish,soft red,kapha
average,fast,slow,all,excessive,moderate hunger,dry,oily thick,dark up red bottom,perfect,dark,never forgets,quick,quickly but inconsistently,sound,pale,soft red,kapha
difficult to lose,moderate,moderate,cold,mild,irregular appetite,oily,oily thick,dark dry,large,dark,never forgets,peacefull,slowly but steadily,deep,pale,pale,kapha
difficult to lose,slow,slow,cold,mild,always hunger,oily,straight soft,red,large,bright,forgets quickly,quick,slowly but steadily,light,pale,dull,kapha
average,moderate,moderate,cold,mild,irregular appetite,cool,oily thick,red,large,red,forgets quickly,peaceful,slowly but steadily,deep,pale,dull,kapha
average,fast,slow,all,excessive,irregular appetite,dry,oily thick,dark up red bottom,large,bright,average,focused,slowly but steadily,deep,dark,pale,kapha
average,moderate,fast,all,excessive with strong odor,irregular appetite,cool,oily thick,dark up red bottom,uneven,bright,forgets quickly,peacefull,quickly but inconsistently,deep,redish,pale,kapha
average,slow,slow,all,excessive,moderate hunger,oily,oily thick,dark dry,large,bright,never forgets,peacefull,quickly but inconsistently,light,redish,soft red,kapha
difficult to lose,slow,fast,all,excessive,always hunger,oily,oily thick,red,large,bright,forgets quickly,quick,promptly and decisively,deep,redish,pale,kapha
average,fast,fast,all,excessive,moderate hunger,dry,oily thick,red,perfect,red,average,peaceful,quickly but inconsistently,sound,pale,pale,kapha
difficult to lose,slow,moderate,all,excessive with strong odor,moderate hunger,oily,dry brittle,dark dry,large,red,forgets quickly,quick,slowly but steadily,deep,redish,pale,kapha
difficult to lose,slow,fast,all,mild,always hunger,oily,straight soft,dark up red bottom,large,bright,never forgets,quick,quickly but inconsistently,deep,redish,pale,kapha
lean,fast,slow,cold,mild,moderate hunger,oily,oily thick,red,perfect,red,forgets quickly,peacefull,promptly and decisively,sound,redish,pale,kapha
average,fast,slow,all,mild,irregular appetite,oily,dry brittle,dark dry,perfect,red,average,peaceful,slowly but steadily,deep,redish,pale,kapha
lean,moderate,slow,cold,excessive,moderate hunger,oily,straight soft,dark dry,uneven,bright,average,focused,slowly but steadily,sound,redish,pale,pitta
lean,slow,moderate,cold,excessive,moderate hunger,oily,straight soft,dark up red bottom,uneven,dark,forgets quickly,peacefull,slowly but steadily,sound,redish,soft red,pitta
lean,fast,moderate,all,mild,always hunger,cool,dry brittle,dark dry,uneven,red,average,focused,slowly but steadily,sound,dark,soft red,pitta
difficult to lose,fast,moderate,cold,excessive,moderate hunger,oily,dry brittle,red,large,red,never forgets,focused,promptly and decisively,light,pale,dull,pitta
lean,moderate,slow,cold,excessive with strong odor,always hunger,oily,oily thick,red,large,bright,average,focused,slowly but steadily,sound,pale,soft red,pitta
average,moderate,slow,cold,mild,always hunger,cool,dry brittle,dark dry,large,red,average,peaceful,slowly but steadily,deep,dark,soft red,pitta
lean,slow,slow,warm,excessive,always hunger,oily,straight soft,red,perfect,red,average,quick,quickly but inconsistently,light,dark,soft red,pitta
lean,moderate,moderate,cold,excessive with strong odor,always hunger,oily,dry brittle,red,perfect,red,never forgets,peacefull,quickly but inconsistently,sound,dark,pale,pitta
average,fast,slow,cold,excessive,moderate hunger,oily,dry brittle,dark up red bottom,perfect,dark,average,peaceful,quickly but inconsistently,light,redish,soft red,pitta
average,moderate,fast,warm,mild,moderate hunger,oily,dry brittle,dark up red bottom,perfect,red,forgets quickly,peaceful,slowly but steadily,light,redish,soft red,pitta
lean,moderate,moderate,cold,mild,irregular appetite,cool,straight soft,red,large,dark,average,focused,slowly but steadily,sound,pale,dull,pitta
difficult to lose,moderate,slow,warm,excessive,moderate hunger,cool,dry brittle,dark dry,large,red,average,focused,slowly but steadily,sound,redish,pale,pitta
lean,slow,moderate,all,mild,irregular appetite,cool,straight soft,red,uneven,red,never forgets,focused,promptly and decisively,deep,redish,dull,pitta
average,moderate,moderate,cold,mild,always hunger,dry,oily thick,red,uneven,red,forgets quickly,quick,slowly but steadily,deep,pale,soft red,pitta
average,slow,fast,all,excessive with strong odor,irregular appetite,dry,straight soft,dark up red bottom,uneven,red,forgets quickly,focused,promptly and decisively,sound,redish,pale,pitta
average,slow,moderate,warm,excessive with strong odor,always hunger,cool,oily thick,red,uneven,red,never forgets,quick,promptly and decisively,deep,redish,soft red,pitta
average,slow,fast,all,excessive,moderate hunger,cool,straight soft,dark up red bottom,large,dark,never forgets,peaceful,promptly and decisively,sound,redish,dull,pitta
difficult to lose,fast,moderate,all,mild,always hunger,dry,oily thick,dark up red bottom,large,red,never forgets,quick,promptly and decisively,sound,redish,dull,pitta
average,slow,slow,cold,excessive with strong odor,always hunger,cool,straight soft,red,large,bright,forgets quickly,quick,promptly and decisively,sound,redish,soft red,pitta
average,moderate,moderate,all,excessive,irregular appetite,oily,straight soft,dark up red bottom,uneven,bright,never forgets,quick,slowly but steadily,deep,dark,pale,pitta
average,moderate,slow,warm,excessive,moderate hunger,oily,straight soft,dark dry,uneven,dark,forgets quickly,peacefull,slowly but steadily,sound,dark,soft red,pitta
lean,slow,slow,cold,excessive with strong odor,moderate hunger,oily,straight soft,dark up red bottom,large,red,average,focused,promptly and decisively,light,dark,dull,pitta
lean,slow,slow,all,excessive,always hunger,oily,dry brittle,dark up red bottom,perfect,dark,never forgets,quick,slowly but steadily,sound,redish,soft red,pitta
average,fast,moderate,warm,excessive,always hunger,oily,straight soft,red,large,bright,forgets quickly,quick,slowly but steadily,sound,pale,soft red,pitta
average,slow,moderate,cold,excessive,always hunger,oily,dry brittle,dark up red bottom,perfect,dark,forgets quickly,focused,quickly but inconsistently,light,pale,soft red,pitta
average,fast,moderate,warm,excessive with strong odor,irregular appetite,oily,straight soft,dark dry,uneven,red,average,focused,quickly but inconsistently,light,pale,soft red,pitta
difficult to lose,moderate,fast,cold,mild,irregular appetite,cool,dry brittle,red,perfect,bright,average,focused,promptly and decisively,deep,redish,soft red,pitta
lean,slow,fast,all,excessive,always hunger,oily,dry brittle,dark up red bottom,large,red,average,focused,promptly and decisively,light,pale,pale,pitta
average,moderate,moderate,all,mild,always hunger,dry,oily thick,red,large,red,forgets quickly,quick,promptly and decisively,light,redish,soft red,pitta
average,fast,moderate,cold,excessive with strong odor,always hunger,dry,dry brittle,dark up red bottom,uneven,red,never forgets,focused,quickly but inconsistently,light,redish,dull,pitta
average,slow,moderate,cold,mild,irregular appetite,dry,straight soft,dark dry,large,bright,forgets quickly,focused,promptly and decisively,deep,redish,soft red,pitta
average,moderate,moderate,cold,mild,moderate hunger,dry,straight soft,red,uneven,red,average,peacefull,promptly and decisively,sound,redish,soft red,pitta
average,moderate,slow,warm,mild,always hunger,oily,straight soft,red,perfect,bright,average,focused,quickly but inconsistently,sound,dark,dull,pitta
average,slow,slow,cold,mild,always hunger,oily,oily thick,red,uneven,bright,forgets quickly,focused,promptly and decisively,light,pale,dull,pitta
average,fast,slow,cold,excessive,moderate hunger,oily,dry brittle,dark up red bottom,perfect,red,forgets quickly,focused,slowly but steadily,sound,redish,dull,pitta
lean,moderate,fast,cold,excessive with strong odor,irregular appetite,oily,oily thick,dark up red bottom,perfect,red,forgets quickly,focused,promptly and decisively,deep,dark,dull,pitta
average,slow,fast,cold,mild,always hunger,oily,straight soft,dark dry,large,red,average,quick,promptly and decisively,sound,pale,dull,pitta
difficult to lose,slow,slow,warm,excessive,moderate hunger,dry,straight soft,dark up red bottom,uneven,bright,forgets quickly,focused,promptly and decisively,sound,dark,pale,pitta
average,moderate,slow,all,excessive,moderate hunger,dry,straight soft,dark up red bottom,perfect,bright,forgets quickly,peacefull,quickly but inconsistently,sound,dark,soft red,pitta
average,moderate,moderate,cold,mild,irregular appetite,dry,oily thick,dark up red bottom,uneven,bright,average,peaceful,promptly and decisively,sound,dark,soft red,pitta
average,fast,fast,cold,excessive,always hunger,cool,straight soft,dark up red bottom,uneven,red,average,focused,quickly but inconsistently,sound,dark,pale,pitta
difficult to lose,fast,moderate,cold,excessive,always hunger,oily,oily thick,dark dry,uneven,dark,forgets quickly,quick,promptly and decisively,deep,redish,dull,pitta
difficult to lose,moderate,slow,cold,excessive,irregular appetite,cool,dry brittle,dark up red bottom,uneven,red,average,focused,quickly but inconsistently,light,dark,pale,pitta
average,fast,slow,cold,mild,always hunger,oily,oily thick,red,uneven,bright,never forgets,focused,promptly and decisively,sound,redish,dull,pitta
lean,slow,moderate,cold,mild,moderate hunger,oily,straight soft,dark dry,large,red,average,peacefull,slowly but steadily,sound,redish,dull,pitta
average,fast,moderate,cold,excessive with strong odor,always hunger,dry,straight soft,dark up red bottom,uneven,dark,average,quick,slowly but steadily,sound,redish,pale,pitta
average,moderate,moderate,warm,excessive,always hunger,dry,dry brittle,red,uneven,dark,average,quick,quickly but inconsistently,light,pale,soft red,pitta
difficult to lose,moderate,fast,warm,excessive with strong odor,irregular appetite,cool,straight soft,red,uneven,red,average,peacefull,slowly but steadily,sound,redish,soft red,pitta
difficult to lose,fast,slow,cold,excessive,always hunger,cool,oily thick,dark dry,uneven,red,average,quick,promptly and decisively,sound,redish,pale,pitta
lean,moderate,fast,warm,excessive,always hunger,oily,oily thick,red,large,red,average,peaceful,slowly but steadily,sound,redish,soft red,pitta
average,moderate,moderate,warm,excessive with strong odor,irregular appetite,oily,oily thick,dark dry,perfect,red,average,peaceful,quickly but inconsistently,sound,pale,dull,pitta
average,moderate,moderate,all,excessive with strong odor,moderate hunger,oily,dry brittle,red,large,bright,average,focused,quickly but inconsistently,sound,dark,soft red,pitta
difficult to lose,moderate,slow,all,excessive,moderate hunger,oily,straight soft,dark dry,uneven,bright,never forgets,focused,quickly but inconsistently,sound,pale,soft red,pitta
average,fast,slow,cold,excessive with strong odor,always hunger,cool,dry brittle,red,large,red,average,quick,quickly but inconsistently,sound,redish,dull,pitta
average,fast,moderate,warm,excessive,moderate hunger,oily,dry brittle,red,uneven,red,never forgets,peacefull,quickly but inconsistently,sound,redish,soft red,pitta
lean,fast,slow,cold,excessive,moderate hunger,dry,oily thick,dark up red bottom,uneven,bright,forgets quickly,focused,quickly but inconsistently,sound,redish,dull,pitta
average,fast,fast,cold,mild,always hunger,dry,straight soft,dark up red bottom,uneven,red,average,focused,slowly but steadily,light,dark,soft red,pitta
average,slow,fast,all,mild,moderate hunger,oily,straight soft,dark up red bottom,large,red,never forgets,focused,promptly and decisively,light,dark,pale,pitta
difficult to lose,moderate,fast,all,excessive,always hunger,oily,dry brittle,red,uneven,red,average,peaceful,quickly but inconsistently,deep,pale,dull,pitta
lean,moderate,moderate,warm,mild,always hunger,cool,dry brittle,dark up red bottom,large,red,never forgets,peaceful,promptly and decisively,sound,dark,pale,pitta
average,slow,moderate,warm,excessive,always hunger,dry,straight soft,dark dry,perfect,dark,average,peacefull,slowly but steadily,sound,redish,dull,pitta
average,moderate,slow,cold,mild,always hunger,oily,dry brittle,dark dry,large,dark,forgets quickly,focused,promptly and decisively,sound,pale,soft red,pitta
